evaluation_id,facility_code,region_code,reviewer_code,reviewer_role,visit_month,rating,status
EV-0001,FAC-01,R01,RV-001,Team Lead,2026-01,5,Completed
EV-0002,FAC-02,R02,RV-002,Reviewer,2026-01,4,Completed
EV-0003,FAC-03,R03,RV-003,Trainee Reviewer,2026-02,4,Completed
EV-0004,FAC-04,R04,RV-004,Reviewer,2026-02,3,Completed
EV-0005,FAC-05,R05,RV-005,Team Lead,2026-03,5,Completed
EV-0006,FAC-06,R06,RV-006,Reviewer,2026-03,4,Pending
EV-0007,FAC-07,R07,RV-007,Reviewer,2026-04,5,Completed
EV-0008,FAC-08,R08,RV-008,Trainee Reviewer,2026-04,4,Completed
EV-0009,FAC-09,R09,RV-009,Reviewer,2026-05,3,Completed
EV-0010,FAC-10,R10,RV-010,Team Lead,2026-05,5,Completed
EV-0011,FAC-11,R11,RV-011,Reviewer,2026-06,4,Completed
EV-0012,FAC-12,R12,RV-012,Reviewer,2026-06,4,Completed
EV-0013,FAC-13,R13,RV-013,Trainee Reviewer,2026-06,5,Completed

